gk_positioning,gk_diving,gk_handling,gk_kicking,gk_reflexes,Cluster
7,8,11,13,14,Cluster 3
53,52,58,49,59,Cluster 2
12,5,12,7,12,Cluster 3
15,9,8,9,8,Cluster 3
12,5,8,15,12,Cluster 3
14,9,13,5,14,Cluster 3
12,12,14,9,8,Cluster 0
8,8,12,14,11,Cluster 3
11,10,10,9,6,Cluster 3
13,6,7,5,13,Cluster 3
9,7,6,13,9,Cluster 3
13,14,12,11,15,Cluster 0
53,49,53,52,54,Cluster 2
13,15,12,8,6,Cluster 0
8,12,7,13,9,Cluster 0
16,6,6,6,9,Cluster 3
8,7,8,10,9,Cluster 3
14,10,10,10,8,Cluster 3
16,15,9,12,9,Cluster 0
14,16,14,15,15,Cluster 0
9,13,13,14,11,Cluster 0
7,12,13,9,9,Cluster 0
11,13,12,10,14,Cluster 0
5,12,7,12,9,Cluster 0
10,11,14,8,12,Cluster 0
15,8,6,13,9,Cluster 3
81,82,79,80,83,Cluster 1
12,12,10,7,15,Cluster 0
7,7,11,7,13,Cluster 3
13,12,7,14,12,Cluster 0
13,6,6,6,8,Cluster 3
14,13,5,11,13,Cluster 0
9,14,11,14,9,Cluster 0
12,15,11,15,7,Cluster 0
60,64,61,62,64,Cluster 2
8,11,6,12,9,Cluster 0
7,9,8,11,8,Cluster 3
11,8,13,15,14,Cluster 3
80,80,79,72,83,Cluster 1
8,7,12,8,11,Cluster 3
8,8,14,7,8,Cluster 3
7,15,11,5,6,Cluster 0
13,10,8,11,12,Cluster 3
8,9,9,5,9,Cluster 3
7,12,11,12,12,Cluster 0
9,11,14,8,5,Cluster 0
47,56,50,51,52,Cluster 2
50,55,52,53,56,Cluster 2
66,68,72,64,68,Cluster 1
11,6,10,14,7,Cluster 3
17,9,9,15,9,Cluster 3
5,7,12,6,11,Cluster 3
5,6,7,10,10,Cluster 3
15,12,12,12,13,Cluster 0
7,6,9,12,9,Cluster 3
12,6,15,6,11,Cluster 3
10,12,12,15,14,Cluster 0
13,7,13,12,13,Cluster 3
9,11,8,10,7,Cluster 0
15,8,11,8,12,Cluster 3
15,7,14,12,13,Cluster 3
7,13,7,6,8,Cluster 0
12,6,13,7,14,Cluster 3
13,12,13,5,12,Cluster 0
12,14,9,14,13,Cluster 0
8,6,14,6,12,Cluster 3
56,58,59,56,57,Cluster 2
16,16,10,15,15,Cluster 0
9,10,12,7,6,Cluster 3
11,11,12,13,9,Cluster 0
11,7,12,7,14,Cluster 3
10,12,9,9,16,Cluster 0
11,14,8,13,13,Cluster 0
70,72,70,70,75,Cluster 1
12,9,13,8,13,Cluster 3
14,13,7,10,12,Cluster 0
8,13,9,7,8,Cluster 0
70,72,70,70,75,Cluster 1
14,13,7,10,12,Cluster 0
8,13,9,7,8,Cluster 0
12,16,13,10,8,Cluster 0
6,11,14,9,6,Cluster 0
76,81,76,76,81,Cluster 1
9,16,10,10,12,Cluster 0
60,60,61,58,62,Cluster 2
6,14,14,9,6,Cluster 0
7,13,13,5,12,Cluster 0
11,7,8,13,13,Cluster 3
11,12,11,12,11,Cluster 0
5,13,7,9,14,Cluster 0
8,14,7,7,14,Cluster 0
9,6,7,10,7,Cluster 3
17,16,11,11,13,Cluster 0
7,14,8,8,5,Cluster 0
9,6,14,15,14,Cluster 3
8,13,15,14,11,Cluster 0
9,7,7,8,9,Cluster 3
12,13,6,9,6,Cluster 0
7,6,10,8,14,Cluster 3
8,9,9,5,9,Cluster 3
13,10,8,10,8,Cluster 3
13,14,6,9,14,Cluster 0
15,10,7,16,14,Cluster 0
71,71,71,74,71,Cluster 1
9,12,6,12,9,Cluster 0
11,11,15,8,12,Cluster 0
8,13,8,13,11,Cluster 0
12,13,11,15,6,Cluster 0
14,8,10,9,14,Cluster 3
13,10,6,6,8,Cluster 3
13,15,15,9,7,Cluster 0
12,12,15,8,9,Cluster 0
9,16,9,6,9,Cluster 0
11,10,8,13,8,Cluster 3
14,12,13,10,10,Cluster 0
15,6,11,11,13,Cluster 3
11,6,10,7,14,Cluster 3
12,9,7,10,12,Cluster 3
8,8,12,13,10,Cluster 3
7,11,8,7,14,Cluster 0
9,14,15,12,10,Cluster 0
16,9,12,9,7,Cluster 3
8,12,6,8,14,Cluster 0
8,8,12,10,12,Cluster 3
7,15,8,12,11,Cluster 0
14,8,9,10,6,Cluster 3
7,12,12,7,9,Cluster 0
9,6,13,12,10,Cluster 3
10,13,8,11,7,Cluster 0
10,10,14,13,11,Cluster 0
11,13,10,11,7,Cluster 0
14,14,15,11,8,Cluster 0
10,11,13,8,14,Cluster 0
14,11,15,9,10,Cluster 0
13,14,10,13,15,Cluster 0
11,11,13,9,14,Cluster 0
8,14,13,6,7,Cluster 0
7,12,11,7,13,Cluster 0
13,11,8,11,15,Cluster 0
15,12,8,11,11,Cluster 0
9,7,7,7,12,Cluster 3
6,14,10,10,14,Cluster 0
14,7,9,14,12,Cluster 3
11,8,8,5,7,Cluster 3
7,7,7,6,9,Cluster 3
10,12,7,11,15,Cluster 0
8,13,5,10,9,Cluster 0
8,10,5,7,15,Cluster 3
7,9,13,11,9,Cluster 3
15,6,13,6,6,Cluster 3
6,11,10,6,11,Cluster 0
6,8,9,10,8,Cluster 3
7,8,9,14,7,Cluster 3
13,7,15,6,15,Cluster 3
12,11,11,12,11,Cluster 0
9,10,14,9,12,Cluster 3
61,62,65,60,62,Cluster 2
13,13,11,12,13,Cluster 0
13,9,11,12,8,Cluster 3
9,15,15,12,14,Cluster 0
5,12,10,10,11,Cluster 0
9,9,7,15,10,Cluster 3
16,12,8,10,13,Cluster 0
15,12,12,13,13,Cluster 0
8,9,7,9,12,Cluster 3
14,10,7,12,15,Cluster 0
7,8,11,12,12,Cluster 3
13,6,15,14,7,Cluster 3
14,5,6,13,14,Cluster 3
12,10,8,9,8,Cluster 3
13,7,14,11,8,Cluster 3
8,5,6,12,6,Cluster 3
15,7,9,13,8,Cluster 3
10,8,8,11,6,Cluster 3
7,10,12,9,8,Cluster 3
7,14,12,10,11,Cluster 0
68,70,68,90,75,Cluster 1
71,71,67,76,72,Cluster 1
14,10,15,10,6,Cluster 0
15,15,15,15,15,Cluster 0
9,7,6,9,10,Cluster 3
13,9,13,12,6,Cluster 3
6,6,10,10,14,Cluster 3
7,6,5,11,8,Cluster 3
8,11,10,13,8,Cluster 0
15,11,12,15,12,Cluster 0
11,10,12,9,7,Cluster 3
5,8,5,11,7,Cluster 3
11,5,13,12,7,Cluster 3
13,14,16,7,10,Cluster 0
11,11,11,12,11,Cluster 0
12,7,8,10,14,Cluster 3
7,7,10,9,9,Cluster 3
9,10,11,9,10,Cluster 3
66,68,69,65,70,Cluster 1
12,6,14,8,8,Cluster 3
13,11,13,10,10,Cluster 0
7,7,6,13,7,Cluster 3
7,9,11,7,15,Cluster 3
6,6,13,14,7,Cluster 3
10,6,6,8,8,Cluster 3
7,14,8,7,7,Cluster 0
60,59,60,62,59,Cluster 2
16,15,10,15,10,Cluster 0
11,6,6,11,13,Cluster 3
11,16,6,16,16,Cluster 0
9,13,7,12,15,Cluster 0
6,10,6,12,9,Cluster 3
13,13,15,10,10,Cluster 0
12,7,8,8,9,Cluster 3
6,14,12,7,11,Cluster 0
6,7,11,13,9,Cluster 3
51,52,51,46,53,Cluster 2
10,14,14,11,13,Cluster 0
14,13,11,8,8,Cluster 0
11,12,13,9,16,Cluster 0
9,12,11,7,13,Cluster 0
63,60,62,61,67,Cluster 2
8,8,8,7,8,Cluster 3
15,14,7,11,12,Cluster 0
9,9,13,7,8,Cluster 3
11,11,7,5,12,Cluster 0
11,10,11,12,13,Cluster 0
12,14,9,10,10,Cluster 0
11,10,6,13,5,Cluster 3
53,52,52,53,57,Cluster 2
7,5,6,14,12,Cluster 3
15,14,6,5,7,Cluster 0
15,14,10,8,11,Cluster 0
5,13,10,11,10,Cluster 0
15,15,11,9,15,Cluster 0
13,15,10,14,13,Cluster 0
10,10,13,10,15,Cluster 0
12,13,10,15,11,Cluster 0
6,8,10,12,10,Cluster 3
5,6,8,14,8,Cluster 3
12,11,9,12,12,Cluster 0
12,9,6,12,7,Cluster 3
14,13,11,10,8,Cluster 0
8,12,8,7,12,Cluster 0
6,9,8,7,7,Cluster 3
8,12,8,15,12,Cluster 0
15,12,10,13,11,Cluster 0
10,7,14,10,9,Cluster 3
64,67,64,61,67,Cluster 1
12,13,6,12,12,Cluster 0
11,8,11,11,6,Cluster 3
8,12,14,13,13,Cluster 0
12,15,12,7,10,Cluster 0
15,11,6,7,14,Cluster 0
9,6,12,13,9,Cluster 3
16,13,10,13,9,Cluster 0
8,12,13,14,15,Cluster 0
15,12,15,14,14,Cluster 0
13,6,10,14,13,Cluster 3
6,13,16,11,10,Cluster 0
6,9,7,10,15,Cluster 3
74,75,73,62,77,Cluster 1
50,56,52,50,50,Cluster 2
70,72,67,68,75,Cluster 1
9,12,10,13,10,Cluster 0
12,5,13,9,11,Cluster 3
14,8,7,12,11,Cluster 3
11,12,9,9,5,Cluster 0
14,10,13,7,11,Cluster 3
9,9,9,13,12,Cluster 3
15,6,12,8,12,Cluster 3
80,76,74,86,85,Cluster 1
7,13,10,10,12,Cluster 0
8,8,6,13,7,Cluster 3
12,12,12,7,10,Cluster 0
67,69,67,66,70,Cluster 1
13,9,12,9,12,Cluster 3
15,7,13,13,6,Cluster 3
13,14,13,6,14,Cluster 0
6,15,6,8,11,Cluster 0
14,10,9,6,14,Cluster 3
14,11,12,11,11,Cluster 0
9,7,9,10,14,Cluster 3
12,11,5,11,14,Cluster 0
10,6,7,15,10,Cluster 3
13,8,8,13,11,Cluster 3
10,8,7,10,15,Cluster 3
8,8,10,7,7,Cluster 3
9,7,13,13,11,Cluster 3
10,13,14,9,7,Cluster 0
6,11,13,11,11,Cluster 0
10,15,14,13,6,Cluster 0
14,7,11,13,10,Cluster 3
6,7,7,5,9,Cluster 3
9,12,12,10,11,Cluster 0
13,9,10,11,14,Cluster 3
67,67,68,62,68,Cluster 1
8,9,10,14,13,Cluster 3
64,64,61,63,62,Cluster 2
63,62,61,60,64,Cluster 2
5,6,7,13,10,Cluster 3
8,15,12,9,9,Cluster 0
12,15,6,14,14,Cluster 0
13,12,7,8,13,Cluster 0
11,8,11,8,9,Cluster 3
11,9,11,8,7,Cluster 3
8,6,8,15,13,Cluster 3
10,7,15,14,6,Cluster 3
9,14,10,9,6,Cluster 0
12,6,9,5,12,Cluster 3
58,61,58,62,60,Cluster 2
72,66,71,69,68,Cluster 1
8,6,12,12,11,Cluster 3
12,10,11,5,9,Cluster 3
9,11,9,13,13,Cluster 0
14,15,12,10,9,Cluster 0
10,16,13,9,14,Cluster 0
14,14,8,16,6,Cluster 0
60,64,63,71,70,Cluster 1
12,14,8,6,10,Cluster 0
6,7,14,13,5,Cluster 3
78,81,78,73,82,Cluster 1
12,13,14,14,13,Cluster 0
11,11,15,10,14,Cluster 0
12,10,14,6,9,Cluster 3
13,8,10,6,12,Cluster 3
14,8,8,13,16,Cluster 3
11,10,8,9,6,Cluster 3
9,13,12,10,10,Cluster 0
10,14,13,13,11,Cluster 0
10,10,15,10,10,Cluster 0
6,14,12,12,9,Cluster 0
14,9,6,10,6,Cluster 3
9,6,15,13,7,Cluster 3
13,9,9,7,12,Cluster 3
8,10,9,12,12,Cluster 3
63,64,63,61,64,Cluster 2
73,68,76,74,68,Cluster 1
6,15,10,9,7,Cluster 0
6,12,8,8,9,Cluster 0
9,9,8,14,14,Cluster 3
7,12,5,10,6,Cluster 0
14,11,12,8,14,Cluster 0
11,11,8,15,7,Cluster 0
9,12,14,13,5,Cluster 0
8,7,13,5,14,Cluster 3
12,7,13,11,10,Cluster 3
59,62,66,66,56,Cluster 2
8,15,12,6,5,Cluster 0
10,5,7,5,11,Cluster 3
15,13,12,10,11,Cluster 0
7,8,8,8,9,Cluster 3
13,15,11,12,10,Cluster 0
12,11,9,10,7,Cluster 0
6,15,11,5,12,Cluster 0
8,9,13,11,10,Cluster 3
12,8,8,13,9,Cluster 3
7,10,10,15,13,Cluster 3
15,10,7,10,11,Cluster 3
11,7,13,10,5,Cluster 3
62,65,61,61,65,Cluster 2
6,7,8,5,13,Cluster 3
11,8,10,7,12,Cluster 3
72,72,71,72,74,Cluster 1
8,8,14,7,7,Cluster 3
11,7,6,8,10,Cluster 3
16,7,8,6,12,Cluster 3
10,12,10,7,8,Cluster 0
8,11,11,7,14,Cluster 0
11,8,7,13,10,Cluster 3
12,9,8,9,14,Cluster 3
8,8,13,10,11,Cluster 3
13,13,11,10,8,Cluster 0
62,63,63,60,68,Cluster 2
8,11,12,9,11,Cluster 0
14,14,9,13,7,Cluster 0
14,15,6,11,14,Cluster 0
6,6,14,10,14,Cluster 3
9,12,9,14,10,Cluster 0
7,5,6,10,10,Cluster 3
6,10,13,14,9,Cluster 3
10,10,15,12,15,Cluster 0
14,11,14,9,9,Cluster 0
60,66,57,55,62,Cluster 2
13,14,6,11,10,Cluster 0
12,8,16,14,16,Cluster 3
14,9,7,9,12,Cluster 3
13,6,9,11,7,Cluster 3
67,72,70,70,71,Cluster 1
6,6,11,6,14,Cluster 3
14,13,8,15,13,Cluster 0
10,6,5,7,6,Cluster 3
10,6,7,6,11,Cluster 3
16,14,10,9,10,Cluster 0
13,13,9,9,14,Cluster 0
10,7,13,9,8,Cluster 3
12,11,13,8,8,Cluster 0
8,9,14,10,9,Cluster 3
7,12,7,8,7,Cluster 0
13,13,8,10,10,Cluster 0
10,15,7,7,8,Cluster 0
10,10,12,7,12,Cluster 3
48,50,57,51,49,Cluster 2
13,15,12,5,6,Cluster 0
13,14,16,12,16,Cluster 0
9,8,7,12,13,Cluster 3
9,11,6,7,9,Cluster 3
12,10,13,14,8,Cluster 0
13,12,8,14,9,Cluster 0
70,69,66,65,68,Cluster 1
7,13,12,14,13,Cluster 0
5,11,14,14,7,Cluster 0
58,64,56,63,68,Cluster 2
9,7,10,13,15,Cluster 3
13,12,10,12,10,Cluster 0
13,11,7,13,14,Cluster 0
12,6,12,9,9,Cluster 3
12,7,16,14,14,Cluster 3
14,13,6,10,13,Cluster 0
11,11,12,8,10,Cluster 0
9,11,5,7,11,Cluster 0
12,7,7,9,5,Cluster 3
14,9,8,13,15,Cluster 3
6,12,15,13,5,Cluster 0
10,7,7,6,9,Cluster 3
14,15,16,9,6,Cluster 0
9,8,15,14,7,Cluster 3
14,7,5,8,15,Cluster 3
9,8,9,14,12,Cluster 3
5,13,13,8,11,Cluster 0
54,62,62,63,59,Cluster 2
10,9,11,9,10,Cluster 3
12,8,7,13,13,Cluster 3
6,11,12,14,8,Cluster 0
12,12,11,13,6,Cluster 0
6,6,12,7,6,Cluster 3
14,6,11,5,6,Cluster 3
9,5,13,9,13,Cluster 3
13,15,9,11,11,Cluster 0
7,10,6,10,7,Cluster 3
10,13,13,9,8,Cluster 0
6,12,10,11,6,Cluster 0
7,7,8,7,9,Cluster 3
6,12,11,11,5,Cluster 0
9,11,9,7,12,Cluster 0
5,6,10,11,6,Cluster 3
12,9,12,10,11,Cluster 3
14,8,14,16,9,Cluster 3
12,11,8,14,6,Cluster 0
13,13,11,10,14,Cluster 0
14,9,11,11,10,Cluster 3
15,6,16,16,15,Cluster 3
14,6,13,7,9,Cluster 3
14,13,13,6,11,Cluster 0
13,5,12,10,11,Cluster 3
15,10,9,7,7,Cluster 3
15,8,12,7,10,Cluster 3
14,11,13,14,15,Cluster 0
62,65,60,62,66,Cluster 2
14,7,9,10,13,Cluster 3
51,53,49,50,53,Cluster 2
14,11,12,9,10,Cluster 0
7,9,7,8,6,Cluster 3
9,7,8,13,13,Cluster 3
7,9,9,15,13,Cluster 3
10,12,13,15,11,Cluster 0
13,14,8,11,9,Cluster 0
14,11,7,11,11,Cluster 0
10,8,11,13,15,Cluster 3
13,8,7,7,8,Cluster 3
15,14,11,9,7,Cluster 0
10,5,8,6,6,Cluster 3
9,8,14,14,16,Cluster 3
11,14,10,8,14,Cluster 0
10,11,8,15,5,Cluster 0
14,10,14,13,6,Cluster 0
9,12,10,9,9,Cluster 0
57,61,58,52,62,Cluster 2
10,11,8,10,14,Cluster 0
7,13,7,7,13,Cluster 0
7,13,5,8,8,Cluster 0
8,8,15,14,10,Cluster 3
9,11,8,8,7,Cluster 0
15,15,10,7,14,Cluster 0
5,5,11,14,7,Cluster 3
7,12,6,14,12,Cluster 0
13,13,11,13,13,Cluster 0
10,13,5,8,9,Cluster 0
6,8,11,11,13,Cluster 3
10,9,16,8,7,Cluster 3
5,5,6,5,6,Cluster 3
6,11,7,10,6,Cluster 3
12,15,15,16,12,Cluster 0
58,63,61,58,65,Cluster 2
6,15,14,15,8,Cluster 0
13,13,7,9,8,Cluster 0
10,15,12,15,13,Cluster 0
6,10,13,12,5,Cluster 3
14,12,9,15,7,Cluster 0
16,10,10,6,15,Cluster 0
16,10,13,12,13,Cluster 0
7,11,11,9,6,Cluster 0
11,13,11,8,5,Cluster 0
60,60,61,60,58,Cluster 2
14,11,14,10,12,Cluster 0
5,6,6,10,11,Cluster 3
6,7,15,15,8,Cluster 3
9,11,12,13,10,Cluster 0
15,13,10,11,12,Cluster 0
14,6,11,11,9,Cluster 3
6,15,13,12,9,Cluster 0
57,59,51,54,59,Cluster 2
16,11,16,8,14,Cluster 0
68,68,65,68,66,Cluster 1
8,12,8,6,9,Cluster 0
12,11,12,12,11,Cluster 0
13,5,11,5,15,Cluster 3
7,14,7,14,7,Cluster 0
13,10,8,12,12,Cluster 3
14,8,14,11,9,Cluster 3
13,16,10,13,7,Cluster 0
7,9,10,12,8,Cluster 3
7,13,13,15,15,Cluster 0
10,10,11,16,14,Cluster 0
10,7,9,7,11,Cluster 3
13,14,9,15,12,Cluster 0
14,9,14,8,12,Cluster 3
11,8,9,7,9,Cluster 3
7,12,12,16,8,Cluster 0
10,12,15,9,14,Cluster 0
9,12,13,6,14,Cluster 0
12,14,8,11,14,Cluster 0
12,12,12,7,11,Cluster 0
10,12,5,10,12,Cluster 0
10,6,11,9,7,Cluster 3
16,11,9,14,12,Cluster 0
10,10,9,6,12,Cluster 3
15,13,14,10,10,Cluster 0
9,10,14,12,10,Cluster 0
11,13,9,15,11,Cluster 0
11,14,7,10,11,Cluster 0
9,15,13,14,13,Cluster 0
8,7,13,11,11,Cluster 3
10,7,10,5,13,Cluster 3
8,7,12,6,12,Cluster 3
8,12,9,10,12,Cluster 0
8,7,13,7,15,Cluster 3
11,11,13,10,12,Cluster 0
6,11,11,8,13,Cluster 0
68,72,66,61,71,Cluster 1
14,12,9,11,12,Cluster 0
7,8,13,13,11,Cluster 3
52,69,56,42,61,Cluster 2
11,6,8,15,7,Cluster 3
7,8,9,13,8,Cluster 3
11,9,11,16,7,Cluster 3
4,5,5,15,6,Cluster 3
7,15,7,11,10,Cluster 0
4,5,6,2,3,Cluster 3
6,14,14,10,8,Cluster 0
7,9,9,10,6,Cluster 3
8,15,6,12,11,Cluster 0
15,15,15,8,7,Cluster 0
56,62,59,57,60,Cluster 2
6,13,8,11,8,Cluster 0
10,12,13,9,12,Cluster 0
9,12,12,13,7,Cluster 0
14,6,12,11,8,Cluster 3
9,7,7,7,6,Cluster 3
72,79,76,71,81,Cluster 1
13,11,7,7,12,Cluster 0
6,11,11,11,13,Cluster 0
10,14,14,14,8,Cluster 0
5,12,12,5,13,Cluster 0
10,13,6,7,6,Cluster 0
7,7,7,11,5,Cluster 3
9,13,12,9,10,Cluster 0
9,13,10,9,11,Cluster 0
12,10,14,13,16,Cluster 0
76,73,77,69,66,Cluster 1
68,73,68,70,76,Cluster 1
12,15,14,13,14,Cluster 0
55,58,61,62,59,Cluster 2
10,15,14,7,7,Cluster 0
14,9,5,11,15,Cluster 3
7,8,7,14,10,Cluster 3
53,53,58,54,57,Cluster 2
14,7,8,6,15,Cluster 3
15,10,9,9,12,Cluster 3
15,11,6,7,11,Cluster 0
6,10,12,13,14,Cluster 0
14,7,11,15,5,Cluster 3
10,7,10,8,4,Cluster 3
12,11,8,13,15,Cluster 0
10,17,10,17,19,Cluster 0
7,13,8,7,7,Cluster 0
13,15,16,6,10,Cluster 0
10,6,6,7,7,Cluster 3
9,13,8,8,16,Cluster 0
14,15,6,12,9,Cluster 0
11,9,12,7,10,Cluster 3
13,16,9,12,13,Cluster 0
8,9,6,10,14,Cluster 3
8,12,6,13,7,Cluster 0
14,13,11,10,15,Cluster 0
7,12,14,14,12,Cluster 0
6,12,13,9,10,Cluster 0
9,11,9,9,12,Cluster 0
7,15,15,9,14,Cluster 0
13,7,13,7,12,Cluster 3
10,6,14,6,11,Cluster 3
9,6,15,12,8,Cluster 3
5,6,13,9,9,Cluster 3
10,14,14,12,14,Cluster 0
12,14,6,8,6,Cluster 0
7,8,11,7,15,Cluster 3
8,10,12,12,5,Cluster 3
9,13,8,10,9,Cluster 0
11,5,8,12,8,Cluster 3
16,15,9,9,6,Cluster 0
13,8,10,8,10,Cluster 3
12,9,14,8,13,Cluster 3
9,14,6,6,8,Cluster 0
11,14,5,9,6,Cluster 0
8,7,7,8,9,Cluster 3
13,11,10,8,11,Cluster 0
6,9,10,9,10,Cluster 3
8,13,10,7,10,Cluster 0
75,77,74,77,79,Cluster 1
15,13,14,5,11,Cluster 0
10,12,9,6,11,Cluster 0
66,68,67,64,71,Cluster 1
58,60,59,59,61,Cluster 2
15,15,14,7,11,Cluster 0
10,14,5,12,12,Cluster 0
6,10,13,12,6,Cluster 3
61,67,64,62,66,Cluster 2
11,6,15,11,11,Cluster 3
10,11,7,8,16,Cluster 0
9,12,11,13,9,Cluster 0
10,6,9,15,7,Cluster 3
7,12,11,5,11,Cluster 0
6,9,8,8,7,Cluster 3
7,15,13,14,15,Cluster 0
7,7,11,11,14,Cluster 3
13,11,11,15,7,Cluster 0
10,10,16,10,6,Cluster 3
12,13,10,13,14,Cluster 0
12,5,8,7,7,Cluster 3
10,5,8,14,7,Cluster 3
14,12,7,14,5,Cluster 0
11,9,12,15,6,Cluster 3
7,15,10,9,7,Cluster 0
14,5,13,6,6,Cluster 3
14,14,16,9,9,Cluster 0
10,12,13,8,10,Cluster 0
15,12,9,12,9,Cluster 0
11,15,9,13,15,Cluster 0
11,14,10,14,13,Cluster 0
7,8,12,7,8,Cluster 3
13,10,9,11,13,Cluster 0
9,11,11,12,9,Cluster 0
7,11,14,8,5,Cluster 0
9,13,7,9,11,Cluster 0
9,9,14,14,8,Cluster 3
67,71,70,68,70,Cluster 1
13,8,10,5,13,Cluster 3
10,6,6,10,10,Cluster 3
13,8,14,9,14,Cluster 3
6,15,6,12,7,Cluster 0
7,16,12,15,11,Cluster 0
7,12,13,6,7,Cluster 0
63,70,66,62,71,Cluster 1
14,14,6,10,13,Cluster 0
11,5,13,11,6,Cluster 3
52,53,51,50,54,Cluster 2
7,11,13,7,15,Cluster 0
9,11,6,15,6,Cluster 0
6,9,5,10,7,Cluster 3
13,8,11,11,12,Cluster 3
11,11,10,15,16,Cluster 0
14,14,14,10,5,Cluster 0
75,72,71,70,76,Cluster 1
7,14,13,12,8,Cluster 0
9,13,8,8,12,Cluster 0
9,11,9,6,10,Cluster 0
6,11,11,12,6,Cluster 0
13,8,5,6,14,Cluster 3
8,11,8,13,8,Cluster 0
10,12,9,10,11,Cluster 0
12,14,12,8,8,Cluster 0
78,80,78,77,79,Cluster 1
15,8,13,11,15,Cluster 3
13,12,13,15,11,Cluster 0
6,7,14,6,9,Cluster 3
53,58,56,51,59,Cluster 2
7,10,8,15,7,Cluster 3
7,11,11,12,11,Cluster 0
16,8,12,13,14,Cluster 3
9,12,5,7,13,Cluster 0
14,8,14,12,9,Cluster 3
12,6,7,15,13,Cluster 3
15,13,5,6,10,Cluster 0
13,10,9,8,7,Cluster 3
9,8,13,15,14,Cluster 3
6,10,9,8,13,Cluster 3
6,6,8,7,8,Cluster 3
15,9,12,7,15,Cluster 3
55,58,52,52,56,Cluster 2
9,5,9,7,5,Cluster 3
14,11,13,14,11,Cluster 0
14,13,14,9,16,Cluster 0
12,7,12,8,14,Cluster 3
12,15,7,15,12,Cluster 0
14,10,7,7,12,Cluster 3
14,11,6,8,12,Cluster 0
10,10,14,14,15,Cluster 0
8,10,8,13,9,Cluster 3
7,11,10,9,6,Cluster 0
5,7,7,18,9,Cluster 3
14,14,12,7,13,Cluster 0
11,8,14,7,11,Cluster 3
14,9,10,9,15,Cluster 3
58,61,59,61,62,Cluster 2
8,6,14,13,6,Cluster 3
7,10,6,12,14,Cluster 3
14,8,8,13,7,Cluster 3
79,75,73,73,75,Cluster 1
12,13,8,12,9,Cluster 0
14,15,10,9,9,Cluster 0
11,12,12,8,12,Cluster 0
9,15,14,13,10,Cluster 0
11,11,7,9,12,Cluster 0
12,10,7,14,15,Cluster 0
7,13,13,8,14,Cluster 0
6,6,6,12,12,Cluster 3
6,13,6,15,15,Cluster 0
7,12,10,13,9,Cluster 0
72,73,69,72,75,Cluster 1
70,69,67,63,70,Cluster 1
7,10,14,9,8,Cluster 3
